"12/22/2021 19:36","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","Deg C","kPa","Deg C","Deg C","Deg C","kPa","kPa"
"Sample #","Engine Coolant Temperature","Peak Air Filter Restriction","Aftercooler Temperature","Right Exhaust Temperature","Left Exhaust Temperature","Right Air Filter Restriction","Left Air Filter Restriction"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data
5,77,2.5,32,468,463,0.5,0.6
6,77,2.5,32,458,472,0.4,0.6
7,77,2.5,32,458,468,0.4,0.6
8,77,2.5,32,472,476,0.4,0.6
9,77,2.5,32,463,481,0.5,0.7
10,77,2.5,32,472,485,0.4,0.6
11,77,2.5,32,463,490,0.5,0.6
12,77,2.5,32,463,485,0.4,0.7
13,77,2.5,32,476,481,0.4,0.6
14,77,2.5,32,458,485,0.4,0.6
15,77,2.5,32,476,481,0.5,0.6
16,77,2.5,32,468,481,0.5,0.7
17,78,2.5,32,476,490,0.5,0.6
18,78,2.5,32,468,476,0.4,0.6
19,78,2.5,32,481,476,0.4,0.7
20,78,2.5,32,468,485,0.5,0.7
21,78,2.5,32,481,490,0.5,0.7
22,78,2.5,32,476,495,0.5,0.6
23,78,2.5,32,476,481,0.4,0.6
24,78,2.5,32,468,481,0.4,0.6
25,78,2.5,32,485,476,0.4,0.6
26,78,2.5,32,472,495,0.5,0.7
27,78,2.5,32,472,476,0.4,0.6
28,78,2.5,32,463,476,0.4,0.6
29,78,2.5,32,468,481,0.4,0.6
30,78,2.5,32,458,485,0.5,0.7
31,78,2.5,32,476,468,0.4,0.7
32,78,2.5,32,454,490,0.4,0.6
33,78,2.5,32,476,481,0.5,0.7
34,78,2.5,32,463,485,0.4,0.6
35,78,2.5,32,458,468,0.4,0.6
36,78,2.5,32,454,481,0.4,0.6
37,78,2.5,32,454,485,0.4,0.6
38,78,2.5,32,449,458,0.4,0.6
39,78,2.5,32,463,476,0.4,0.6
40,78,2.5,32,468,472,0.4,0.6
41,78,2.5,32,458,463,0.4,0.6
42,78,2.5,32,458,481,0.4,0.6
43,78,2.5,32,454,454,0.3,0.5
44,78,2.5,32,463,463,0.5,0.5
45,78,2.5,32,454,458,0.4,0.6
46,78,2.5,32,449,449,0.4,0.5
47,78,2.5,32,436,454,0.4,0.5
48,78,2.5,32,441,468,0.4,0.6
49,78,2.5,32,441,468,0.5,0.6
50,78,2.5,32,436,449,0.4,0.6
51,78,2.5,32,449,463,0.4,0.6
52,78,2.5,32,436,463,0.5,0.6
53,78,2.5,32,445,463,0.4,0.5
54,78,2.5,32,445,454,0.4,0.5
55,78,2.5,32,441,441,0.4,0.5
56,78,2.5,32,427,463,0.4,0.6
