"12/22/2021 20:05","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C",""
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature","ECM In Control"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
5,0,359,14,825,100.0,100.0,0.1,Timed Out,Timed Out,Primary ECM
6,2,358,14,826,100.0,100.0,0.1,112,123,Primary ECM
7,0,358,14,823,100.0,100.0,0.1,112,123,Primary ECM
8,0,358,14,832,100.0,100.0,0.0,112,123,Primary ECM
9,2,358,14,833,100.0,100.0,0.1,112,123,Primary ECM
10,0,359,14,825,100.0,100.0,0.1,118,123,Primary ECM
11,2,358,14,826,100.0,100.0,0.0,118,123,Primary ECM
12,0,358,14,823,100.0,100.0,0.1,102,123,Primary ECM
13,2,358,14,830,100.0,100.0,0.1,102,133,Primary ECM
14,0,358,14,828,100.0,100.0,0.0,118,133,Primary ECM
15,0,358,14,824,100.0,100.0,0.1,118,133,Primary ECM
16,0,358,14,822,100.0,100.0,0.1,107,133,Primary ECM
17,0,357,14,827,100.0,100.0,0.1,107,118,Primary ECM
18,0,358,14,824,100.0,100.0,0.1,118,118,Primary ECM
19,0,357,14,825,100.0,100.0,0.0,118,133,Primary ECM
20,2,358,14,826,100.0,100.0,0.1,107,133,Primary ECM
21,0,357,14,821,100.0,100.0,0.1,118,133,Primary ECM
22,2,357,14,823,100.0,100.0,0.1,118,133,Primary ECM
23,0,357,14,829,100.0,100.0,0.1,123,123,Primary ECM
24,2,357,14,824,100.0,100.0,0.1,123,123,Primary ECM
25,0,357,14,825,100.0,100.0,0.1,118,123,Primary ECM
26,0,357,14,821,100.0,100.0,0.1,118,123,Primary ECM
27,0,357,14,823,100.0,100.0,0.0,112,123,Primary ECM
28,0,357,14,824,100.0,100.0,0.0,112,144,Primary ECM
29,0,356,14,824,100.0,100.0,0.1,112,144,Primary ECM
30,0,356,14,824,100.0,100.0,0.1,118,144,Primary ECM
31,0,355,14,822,100.0,100.0,0.1,118,144,Primary ECM
32,0,355,22,831,100.0,100.0,0.1,128,144,Primary ECM
33,0,355,22,831,100.0,100.0,0.1,128,149,Primary ECM
34,0,354,23,903,100.0,100.0,0.1,133,149,Primary ECM
35,2,357,30,938,100.0,100.0,0.1,139,133,Primary ECM
36,2,359,30,975,100.0,100.0,0.0,139,133,Primary ECM
37,2,359,30,1011,100.0,100.0,0.0,144,149,Primary ECM
38,4,363,30,1041,100.0,100.0,0.1,144,169,Primary ECM
39,4,373,30,1059,100.0,100.0,0.1,144,169,Primary ECM
40,6,377,30,1086,100.0,100.0,0.0,144,169,Primary ECM
41,4,381,30,1087,100.0,100.0,0.1,164,169,Primary ECM
42,4,385,30,1061,100.0,100.0,0.1,169,184,Primary ECM
43,4,385,30,1039,100.0,100.0,0.1,169,184,Primary ECM
44,6,385,30,1036,100.0,100.0,0.1,184,189,Primary ECM
45,6,385,30,1035,100.0,100.0,0.1,184,194,Primary ECM
46,6,385,30,1025,100.0,100.0,0.1,184,194,Primary ECM
47,6,385,30,1035,100.0,100.0,0.1,184,194,Primary ECM
48,6,385,30,1034,100.0,100.0,0.2,174,194,Primary ECM
49,4,385,30,1037,100.0,100.0,0.1,199,213,Primary ECM
50,8,386,30,1038,100.0,100.0,0.1,199,213,Primary ECM
51,8,386,30,1046,100.0,100.0,0.2,194,204,Primary ECM
52,6,386,30,1047,100.0,100.0,0.1,194,208,Primary ECM
53,8,387,30,1047,100.0,100.0,0.0,199,208,Primary ECM
54,6,387,30,1048,100.0,100.0,0.2,199,213,Primary ECM
55,6,387,30,1046,100.0,100.0,0.1,213,213,Primary ECM
56,8,388,30,1043,100.0,100.0,0.1,213,213,Primary ECM
57,8,388,30,1043,100.0,100.0,0.1,213,213,Primary ECM
58,6,387,30,1039,100.0,100.0,0.0,213,242,Primary ECM
59,8,388,30,1045,100.0,100.0,0.1,213,223,Primary ECM
60,6,388,34,1079,100.0,100.0,0.1,228,223,Primary ECM
61,6,388,34,1079,100.0,100.0,0.1,228,242,Primary ECM
62,6,388,34,1095,100.0,100.0,0.1,233,242,Primary ECM
63,6,392,34,1100,100.0,100.0,0.0,233,233,Primary ECM
64,6,393,34,1104,100.0,100.0,0.1,233,233,Primary ECM
65,8,393,34,1096,100.0,100.0,0.1,223,257,Primary ECM
66,10,395,34,1096,100.0,100.0,0.1,223,257,Primary ECM
67,8,396,33,1098,100.0,100.0,0.1,237,257,Primary ECM
68,8,396,34,1099,100.0,100.0,0.1,237,262,Primary ECM
69,6,396,34,1090,100.0,100.0,0.1,247,262,Primary ECM
70,10,396,34,1091,100.0,100.0,0.1,257,247,Primary ECM
71,8,396,34,1098,100.0,100.0,0.1,257,247,Primary ECM
72,8,396,34,1090,100.0,100.0,0.1,257,252,Primary ECM
73,6,397,33,1091,100.0,100.0,0.1,257,271,Primary ECM
74,6,397,33,1093,100.0,100.0,0.1,242,271,Primary ECM
75,8,396,33,1083,100.0,100.0,0.1,242,257,Primary ECM
76,6,396,33,1089,100.0,100.0,0.1,257,257,Primary ECM
77,10,396,33,1084,100.0,100.0,0.1,252,266,Primary ECM
78,6,395,33,1082,100.0,100.0,0.1,252,266,Primary ECM
79,6,395,33,1076,100.0,100.0,0.0,252,266,Primary ECM
80,8,395,32,1085,100.0,100.0,0.1,252,266,Primary ECM
81,10,395,32,1073,100.0,100.0,0.0,247,266,Primary ECM
82,6,394,32,1071,100.0,100.0,0.1,247,280,Primary ECM
83,6,394,32,1065,100.0,100.0,0.1,242,280,Primary ECM
84,8,393,32,1066,100.0,100.0,0.0,266,271,Primary ECM
85,8,393,32,1066,100.0,100.0,0.0,266,276,Primary ECM
86,6,394,32,1069,100.0,100.0,0.1,266,276,Primary ECM
87,6,394,32,1071,100.0,100.0,0.1,266,262,Primary ECM
88,8,394,32,1071,100.0,100.0,0.1,247,262,Primary ECM
89,6,394,32,1069,100.0,100.0,0.0,247,262,Primary ECM
90,8,394,32,1073,100.0,100.0,0.1,262,262,Primary ECM
