"12/22/2021 21:06","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","%","kPa","RPM","RPM","Deg C","Deg C"
"Sample #","Boost Pressure","Throttle Position","Fuel Pressure","Desired Engine Speed","Engine Speed","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,0,14,358,827,828,112,112
5,0,14,358,829,829,118,133
6,0,14,358,829,825,102,133
7,0,14,358,829,825,102,133
8,0,14,358,828,822,96,123
9,0,14,358,828,822,96,123
10,0,14,357,829,825,107,118
11,0,14,357,828,820,107,128
12,0,14,357,829,823,102,139
13,0,14,357,828,822,118,123
14,0,14,357,828,822,107,133
15,2,14,357,828,822,107,128
16,2,14,357,828,822,107,128
17,0,14,357,829,828,102,128
18,0,24,356,968,840,112,123
19,0,34,357,1095,943,118,128
20,0,34,362,1095,1011,107,144
21,0,34,362,1095,1011,107,144
22,0,34,376,1094,1107,123,133
23,0,34,376,1094,1107,123,133
24,4,34,389,1094,1129,144,159
25,2,34,391,1095,1104,133,149
26,2,34,392,1095,1083,139,169
27,2,34,392,1094,1079,149,159
28,2,34,392,1094,1079,149,159
29,6,34,392,1095,1080,164,169
30,4,34,393,1095,1085,149,169
31,4,34,393,1094,1090,164,184
32,6,34,393,1096,1093,179,194
33,8,34,394,1096,1099,174,204
34,6,34,394,1095,1100,169,194
35,6,34,394,1095,1100,169,194
36,4,34,395,1095,1094,189,194
37,4,34,395,1095,1094,189,194
38,6,34,395,1094,1099,189,218
39,8,34,396,1095,1093,194,223
40,6,34,396,1095,1100,189,218
41,8,34,396,1095,1097,208,223
42,8,34,396,1094,1098,213,233
43,10,34,396,1096,1094,204,228
44,8,34,396,1095,1100,213,213
45,8,34,396,1094,1094,218,223
46,8,34,397,1094,1102,233,223
47,6,34,397,1095,1107,213,223
48,6,34,397,1095,1102,223,228
49,10,34,398,1094,1110,237,247
50,8,34,399,1095,1116,228,228
51,8,34,399,1096,1099,218,233
52,8,34,399,1095,1101,242,242
53,6,34,398,1095,1099,228,247
54,8,34,398,1096,1088,247,242
55,10,34,397,1094,1088,247,237
56,6,34,397,1096,1092,233,237
57,6,34,396,1094,1084,228,257
58,10,34,396,1094,1088,233,247
59,10,34,396,1096,1089,228,257
60,8,34,396,1096,1090,233,266
61,6,34,396,1096,1097,247,247
62,8,34,397,1095,1099,252,262
63,4,34,397,1095,1096,247,247
64,10,34,397,1096,1099,257,271
65,6,34,397,1096,1101,242,247
66,6,34,397,1094,1102,257,252
67,6,34,398,1095,1101,257,257
68,6,34,399,1094,1109,237,266
69,6,34,399,1094,1109,252,262
70,8,34,399,1095,1096,252,257
71,8,34,399,1096,1097,242,276
72,6,34,399,1095,1100,247,252
73,6,34,399,1094,1100,271,266
74,8,34,399,1094,1100,257,276
75,4,34,399,1096,1097,247,276
76,8,34,399,1096,1093,262,280
77,6,34,398,1094,1095,257,262
78,6,34,398,1094,1101,262,266
79,4,34,399,1096,1092,247,266
80,8,34,399,1095,1091,262,271
81,4,34,398,1094,1103,271,276
82,4,34,399,1094,1099,271,266
83,6,34,399,1095,1105,257,271
84,6,34,399,1095,1104,247,271
85,4,34,399,1096,1091,257,276
86,6,34,399,1095,1094,271,271
87,6,34,399,1096,1097,271,280
88,6,34,399,1096,1098,252,266
89,6,34,399,1096,1090,266,257
90,4,34,399,1094,1090,252,276
91,6,34,398,1095,1085,252,280
92,6,34,397,1094,1073,271,280
93,8,34,396,1096,1076,252,257
94,6,34,396,1095,1087,262,280
95,6,34,396,1095,1098,257,257
96,4,34,397,1095,1091,271,271
97,10,34,397,1095,1101,252,280
98,6,34,398,1095,1106,262,266
99,8,34,398,1096,1096,276,285
100,8,34,398,1096,1102,262,271
101,8,34,399,1096,1103,276,285
102,8,34,398,1096,1095,266,280
103,8,34,398,1095,1098,262,285
104,8,34,398,1096,1101,271,271
105,8,34,398,1096,1101,285,276
106,6,34,398,1096,1100,262,290
107,6,34,398,1095,1098,262,271
108,6,34,398,1095,1089,276,290
109,8,34,398,1095,1083,285,280
110,6,34,397,1095,1085,271,271
111,6,34,396,1096,1083,271,280
112,10,34,396,1095,1085,285,271
113,8,34,396,1096,1089,266,304
114,6,34,396,1095,1090,271,299
115,6,34,396,1094,1096,290,304
116,10,34,396,1096,1091,271,280
117,8,34,396,1094,1098,285,299
118,8,34,396,1096,1092,285,290
119,8,34,396,1095,1097,299,290
120,10,34,396,1095,1101,285,299
121,8,34,397,1095,1104,276,290
122,8,34,397,1096,1095,299,290
123,8,34,397,1094,1103,290,290
124,8,34,397,1095,1105,280,304
125,8,34,398,1094,1095,304,313
126,6,34,398,1096,1103,280,285
127,8,34,397,1094,1095,276,290
128,10,34,398,1096,1102,290,285
129,6,34,398,1096,1103,285,313
130,8,34,397,1096,1098,285,290
131,8,34,398,1096,1096,280,308
132,10,34,398,1096,1102,290,318
133,8,34,398,1095,1103,308,290
134,8,34,398,1094,1095,299,313
135,6,34,398,1094,1094,285,290
136,8,34,398,1094,1097,308,318
137,10,34,397,1096,1102,285,299
138,8,34,398,1095,1100,299,299
139,8,34,397,1095,1098,313,299
140,8,34,397,1095,1091,285,318
141,6,34,397,1095,1096,290,318
142,6,34,398,1096,1098,308,308
143,8,34,398,1096,1103,304,318
144,8,34,398,1094,1094,285,304
145,6,34,398,1096,1103,304,308
146,6,34,398,1095,1093,308,313
147,8,34,398,1095,1093,299,318
148,8,34,398,1096,1100,304,313
149,8,34,398,1095,1091,299,308
150,8,34,398,1094,1095,290,308
151,8,34,398,1096,1099,304,308
152,6,34,398,1096,1098,304,304
153,10,34,398,1095,1090,280,290
154,8,34,398,1095,1097,290,299
155,6,34,398,1094,1100,304,299
156,6,34,398,1096,1091,304,290
157,12,34,398,1095,1097,308,313
158,8,34,398,1095,1103,299,290
159,10,34,398,1096,1092,280,299
160,6,34,398,1096,1096,290,304
161,8,34,398,1095,1096,290,304
162,10,34,398,1096,1102,280,308
163,10,34,398,1096,1100,285,304
164,8,34,399,1096,1103,285,318
165,8,34,399,1095,1106,308,299
166,6,34,400,1094,1105,280,308
167,8,34,399,1095,1100,280,304
168,4,34,399,1096,1093,276,308
169,10,34,399,1094,1092,285,304
170,8,34,399,1094,1095,299,299
171,6,34,399,1094,1089,299,304
172,6,34,399,1094,1091,280,308
