"12/25/2021 20:38","3512B Center (4TN00222)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
5,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out
6,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,368,Timed Out
7,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,368,Timed Out
8,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,373,Timed Out
9,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,345,Timed Out
10,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,345,Timed Out
11,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,349,Timed Out
12,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,349,Timed Out
13,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,345,Timed Out
14,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,345,Timed Out
15,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,354,Timed Out
16,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,354,Timed Out
17,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,354,Timed Out
18,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,354,Timed Out
19,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,354,Timed Out
20,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,349,Timed Out
21,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,349,Timed Out
22,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,340,Timed Out
23,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,336,Timed Out
24,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,336,Timed Out
25,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,345,Timed Out
26,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,345,Timed Out
27,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,332,Timed Out
28,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,332,Timed Out
29,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,322,Timed Out
30,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,322,Timed Out
31,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,332,Timed Out
32,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,327,Timed Out
33,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,327,Timed Out
34,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,322,Timed Out
35,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,322,Timed Out
36,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,336,Timed Out
37,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,336,Timed Out
38,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,327,Timed Out
39,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,322,Timed Out
40,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,322,Timed Out
41,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,332,Timed Out
42,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,332,Timed Out
43,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,318,Timed Out
44,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,318,Timed Out
45,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
46,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
47,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
48,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,322,Timed Out
49,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,322,Timed Out
50,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
51,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
52,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
53,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
54,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
55,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
56,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
57,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,313,Timed Out
58,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,313,Timed Out
59,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
60,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
61,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
62,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
63,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
64,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
65,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
