"12/25/2021 23:06","3512B Starboard (4TN00223)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","RPM","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Desired Engine Speed","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,847,4,386,15,995,100.5,100.5,0.1,No Data,No Data
5,847,4,386,15,995,100.5,100.5,0.1,Timed Out,Timed Out
6,847,6,372,15,874,100.5,100.5,0.0,184,128
7,847,6,372,15,874,100.5,100.5,0.0,184,128
8,847,4,363,15,844,100.5,100.5,-0.7,164,144
9,846,4,350,15,834,100.5,100.5,0.0,164,128
10,846,4,350,15,834,100.5,100.5,0.0,184,128
11,846,4,346,15,837,100.5,100.5,0.0,184,133
12,847,4,342,15,837,100.5,100.5,0.0,184,133
13,846,4,341,15,844,100.5,100.5,-0.7,174,139
14,846,2,340,15,844,100.5,100.5,0.0,174,139
15,847,4,340,15,845,100.5,100.5,0.0,174,149
16,846,4,340,15,846,100.5,100.5,0.0,174,159
17,846,4,340,15,851,100.5,100.5,0.0,184,159
18,846,4,340,15,848,100.5,100.5,0.1,184,154
19,846,4,340,15,848,100.5,100.5,0.1,199,154
20,846,4,340,15,851,100.5,100.5,0.0,199,149
21,847,6,340,15,849,100.5,100.5,-0.7,199,149
22,847,4,340,15,851,100.5,100.5,0.0,184,159
23,847,4,341,15,847,100.5,100.5,0.0,184,159
24,847,4,341,15,847,100.5,100.5,0.0,184,159
25,847,4,341,15,848,100.5,100.5,0.0,184,159
26,847,2,341,15,848,100.5,100.5,0.0,184,159
27,847,2,341,15,849,100.5,100.5,-0.7,189,149
28,847,2,341,15,849,100.5,100.5,-0.7,189,149
29,847,4,341,15,847,100.5,100.5,-0.7,194,164
30,846,2,341,15,849,100.5,100.5,0.0,194,169
31,846,2,341,15,849,100.5,100.5,0.0,204,169
32,846,4,342,15,849,100.5,100.5,-0.7,204,164
33,847,2,342,15,849,100.5,100.5,0.0,189,164
34,906,2,343,15,853,100.5,100.5,0.0,184,154
35,906,2,343,15,853,100.5,100.5,0.0,184,154
36,1205,2,343,42,947,100.5,100.5,0.0,199,159
37,1324,4,350,52,1102,100.5,100.5,0.0,199,174
38,1324,4,350,52,1102,100.5,100.5,0.0,204,174
39,1325,2,366,52,1154,100.5,100.5,0.0,204,169
40,1325,4,377,52,1213,100.5,100.5,0.0,223,169
41,1459,2,384,61,1251,100.5,100.5,0.0,223,174
42,1538,6,393,68,1289,100.5,100.5,0.0,223,174
43,1538,8,396,68,1314,100.5,100.5,0.0,228,194
44,1552,12,402,69,1336,100.5,100.5,0.0,228,199
45,1599,10,406,73,1352,100.5,100.5,0.0,252,199
46,1624,12,416,75,1392,100.5,100.5,0.1,252,208
47,1624,12,416,75,1392,100.5,100.5,0.1,276,208
48,1624,16,421,75,1425,100.0,100.5,0.1,285,247
49,1626,22,427,75,1461,100.0,100.5,0.0,285,247
50,1625,28,431,75,1531,100.0,100.0,0.0,308,257
51,1625,28,431,75,1531,100.0,100.0,0.0,308,257
52,1626,28,436,75,1564,100.0,100.0,0.1,327,252
53,1624,40,445,74,1601,100.0,100.0,0.1,327,276
54,1624,40,445,74,1601,100.0,100.0,0.1,349,276
55,1624,44,450,75,1607,100.0,100.0,0.0,349,304
56,1624,42,453,75,1620,99.5,100.0,0.0,349,304
57,1626,48,456,75,1634,99.5,100.0,0.0,354,299
58,1624,52,459,75,1633,99.5,100.0,0.0,354,299
59,1625,54,460,75,1626,99.5,100.0,0.0,368,336
60,1626,56,462,75,1633,99.5,100.0,0.0,368,332
61,1626,58,463,75,1642,99.5,100.0,0.0,395,332
62,1626,56,465,75,1629,99.5,100.0,-0.7,395,340
63,1626,56,465,75,1629,99.5,100.0,-0.7,400,340
64,1625,52,466,75,1642,99.5,100.0,0.0,404,340
65,1624,58,466,75,1626,99.5,100.0,0.0,404,340
66,1624,56,466,75,1626,99.5,100.0,0.0,386,354
67,1626,58,467,75,1635,99.5,100.0,0.0,386,363
68,1625,54,467,75,1630,99.5,100.0,0.0,395,363
69,1625,58,468,75,1623,99.5,100.0,-0.7,395,382
70,1624,52,468,75,1629,99.5,100.0,0.0,404,382
71,1687,56,467,80,1646,99.5,100.0,0.1,414,363
72,1687,56,467,80,1646,99.5,100.0,0.1,414,363
73,1691,54,466,80,1660,99.5,100.0,0.0,400,373
74,1691,62,466,80,1679,99.5,99.5,0.0,400,382
75,1691,62,466,80,1679,99.5,99.5,0.0,414,382
76,1755,64,469,85,1699,99.5,99.5,0.0,414,395
77,1755,64,469,85,1699,99.5,99.5,0.0,431,395
78,1818,66,470,90,1694,99.5,99.5,0.0,431,400
79,1818,66,470,90,1694,99.5,99.5,0.0,422,400
80,1875,68,470,94,1702,99.5,99.5,0.1,436,386
81,1922,66,472,98,1714,99.0,99.5,0.0,436,382
82,1922,68,472,98,1721,99.0,99.5,0.0,436,382
83,1922,68,472,98,1721,99.0,99.5,0.0,436,386
84,1922,70,474,98,1709,99.0,99.5,-0.7,441,386
85,1921,68,474,98,1713,99.0,99.5,0.0,441,414
86,1921,68,475,98,1711,99.0,99.5,0.0,445,414
87,1922,70,475,98,1713,99.0,99.5,0.1,445,414
88,1921,72,475,98,1715,99.0,99.5,0.0,441,400
89,1921,68,476,98,1728,99.0,99.5,0.0,454,400
90,1923,66,475,98,1727,99.0,99.5,0.0,454,414
91,1923,66,475,98,1727,99.0,99.5,0.0,431,414
92,1922,70,476,98,1750,99.0,99.5,0.0,431,400
93,1923,70,477,98,1751,99.0,99.5,0.0,454,400
94,1923,70,478,98,1751,99.0,99.5,0.1,454,404
95,1923,70,478,98,1751,99.0,99.5,0.1,458,404
96,1922,72,478,98,1760,99.0,99.5,0.0,458,409
97,1923,74,479,98,1768,99.0,99.5,0.0,454,409
98,1923,70,479,98,1782,99.0,99.5,0.0,454,409
99,1922,70,479,98,1773,99.0,99.5,0.0,449,418
100,1922,70,479,98,1773,99.0,99.5,0.0,449,418
101,1923,68,480,98,1792,99.0,99.5,0.1,458,400
102,1922,72,480,98,1782,99.0,99.5,0.1,454,400
103,1922,72,480,98,1782,99.0,99.5,0.1,454,414
104,1922,76,480,98,1768,99.0,99.5,0.1,449,414
105,1923,72,480,98,1772,99.0,99.5,0.0,449,409
106,1923,70,480,98,1768,99.0,99.5,0.0,441,409
107,1923,70,480,98,1768,99.0,99.5,0.0,441,400
108,1922,70,480,98,1767,99.0,99.5,0.1,449,427
109,1925,76,481,98,1771,99.0,99.5,-0.7,445,427
110,1923,72,481,98,1769,99.0,99.5,0.0,445,409
111,1921,72,481,98,1785,99.0,99.5,0.1,441,409
112,1921,72,481,98,1785,99.0,99.5,0.1,441,404
113,1923,70,480,98,1790,99.0,99.5,0.1,449,404
114,1922,74,478,98,1795,99.0,99.5,0.0,449,418
115,1922,74,478,98,1795,99.0,99.5,0.0,458,418
116,1923,74,480,98,1790,99.0,99.5,0.0,458,422
117,1922,76,479,98,1790,99.0,99.5,0.1,458,422
118,1923,78,480,98,1803,99.0,99.5,0.1,458,414
119,1923,78,480,98,1803,99.0,99.5,0.1,441,414
120,1922,72,481,98,1792,99.0,99.5,0.0,445,404
121,1922,70,479,98,1787,99.0,99.5,0.1,445,404
122,1923,74,479,98,1791,99.0,99.5,0.1,454,404
123,1923,80,478,98,1793,99.0,99.5,0.1,454,427
124,1923,80,478,98,1793,99.0,99.5,0.1,458,427
125,1923,78,479,98,1793,99.0,99.5,0.0,458,418
126,1923,78,479,98,1793,99.0,99.5,0.0,436,418
127,1921,76,479,98,1796,99.0,99.5,0.0,463,422
128,1923,76,478,98,1800,99.0,99.5,0.1,463,422
129,1922,74,480,98,1800,99.0,99.5,0.0,463,422
130,1924,76,480,98,1782,99.0,99.5,0.1,463,422
131,1924,76,480,98,1782,99.0,99.5,0.1,458,422
132,1924,74,482,98,1757,99.0,99.5,0.0,458,418
133,1924,74,482,98,1757,99.0,99.5,0.0,449,418
134,1922,74,482,98,1758,99.0,99.5,0.1,458,427
135,1922,78,482,98,1746,99.0,99.5,0.0,458,418
136,1922,78,482,98,1746,99.0,99.5,0.0,463,418
137,1922,80,482,98,1751,99.0,99.5,0.0,463,422
138,1922,80,482,98,1751,99.0,99.5,0.0,454,422
139,1925,78,482,98,1752,99.0,99.5,0.0,454,431
140,1923,72,481,98,1750,99.0,99.5,0.0,449,431
141,1925,72,481,98,1751,99.0,99.5,0.0,449,431
142,1923,76,481,98,1753,99.0,99.5,-0.7,449,427
143,1923,76,481,98,1753,99.0,99.5,-0.7,441,427
144,1921,78,481,98,1763,99.0,99.5,0.1,441,431
145,1921,78,481,98,1763,99.0,99.5,0.1,458,431
146,1923,76,480,98,1763,99.0,99.5,0.1,458,418
147,1923,76,480,98,1763,99.0,99.5,0.1,441,418
148,1922,74,481,98,1767,99.0,99.5,0.0,441,422
149,1923,74,481,98,1756,99.0,99.5,0.1,449,427
150,1922,76,481,98,1764,99.0,99.5,0.1,449,427
151,1923,76,481,98,1767,99.0,99.5,0.1,454,409
152,1923,76,481,98,1767,99.0,99.5,0.1,454,409
153,1922,76,481,98,1773,99.0,99.5,0.1,463,427
154,1922,76,481,98,1773,99.0,99.5,0.1,454,427
155,1922,78,481,98,1776,99.0,99.5,0.1,454,436
156,1922,72,481,98,1778,99.0,99.5,0.0,458,436
157,1921,76,481,98,1778,99.0,99.5,0.1,458,414
158,1923,80,482,98,1778,99.0,99.5,0.0,445,414
159,1923,80,482,98,1778,99.0,99.5,0.0,445,427
160,1921,74,482,98,1778,99.0,99.5,0.1,454,427
161,1921,74,482,98,1778,99.0,99.5,0.1,454,431
162,1923,74,483,98,1791,99.0,99.5,0.0,463,418
163,1923,76,482,98,1786,99.0,99.5,0.0,468,418
164,1923,76,482,98,1786,99.0,99.5,0.0,468,414
165,1928,80,482,98,1778,99.0,99.5,0.1,454,414
166,1928,80,482,98,1778,99.0,99.5,0.1,454,422
167,1928,82,481,98,1757,99.0,99.5,-0.7,463,422
168,1925,78,480,98,1717,99.0,99.5,0.0,463,422
169,1926,80,475,98,1679,99.0,99.5,-0.7,445,422
170,1926,76,473,98,1677,99.0,99.5,0.1,445,409
171,1926,76,473,98,1677,99.0,99.5,0.1,445,409
172,1926,80,471,98,1687,99.0,99.5,0.0,454,436
173,1928,78,473,98,1726,99.0,99.5,0.0,454,436
174,1928,72,477,98,1773,99.0,99.5,0.1,454,422
175,1928,72,477,98,1773,99.0,99.5,0.1,463,422
176,1929,80,479,98,1803,99.0,99.5,0.0,472,422
177,1926,78,479,98,1806,99.0,99.5,0.0,472,414
178,1926,76,480,98,1810,99.0,99.5,-0.7,454,414
179,1926,78,481,98,1808,99.0,99.5,0.1,454,427
180,1926,78,481,98,1808,99.0,99.5,0.1,449,427
181,1925,72,484,98,1820,99.0,99.5,0.0,449,431
182,1925,72,484,98,1820,99.0,99.5,0.0,454,431
183,1926,74,485,98,1821,99.0,99.5,0.0,454,436
184,1925,78,485,98,1812,99.0,99.5,0.1,472,418
185,1926,72,484,98,1812,99.0,99.5,0.0,472,418
186,1926,76,485,98,1804,99.0,99.5,0.0,468,431
187,1926,76,485,98,1804,99.0,99.5,0.0,468,431
188,1925,76,485,98,1806,99.0,99.5,0.0,468,414
189,1926,74,485,98,1803,99.0,99.5,0.0,468,414
190,1925,80,485,98,1814,99.0,99.5,0.1,445,422
191,1925,78,484,98,1809,99.0,99.5,0.1,468,422
192,1925,78,484,98,1809,99.0,99.5,0.1,468,431
193,1926,80,482,98,1813,99.0,99.5,0.0,454,431
194,1926,80,482,98,1813,99.0,99.5,0.0,454,427
195,1926,80,482,98,1801,99.0,99.5,0.0,454,414
196,1928,80,483,98,1808,99.0,99.5,0.1,454,414
197,1928,78,482,98,1800,99.0,99.5,0.0,454,422
198,1925,76,483,98,1803,99.0,99.5,0.1,449,422
199,1925,76,483,98,1803,99.0,99.5,0.1,449,427
200,1925,74,484,98,1808,99.0,99.5,0.0,458,427
201,1925,74,484,98,1808,99.0,99.5,0.0,458,418
202,1925,80,484,98,1816,99.0,99.5,0.0,449,418
203,1925,80,484,98,1816,99.0,99.5,0.0,449,427
204,1925,82,484,98,1808,99.0,99.5,0.0,463,422
205,1926,76,484,98,1806,99.0,99.5,0.1,454,422
206,1926,76,484,98,1809,99.0,99.5,0.1,454,409
207,1928,82,484,98,1804,99.0,99.5,0.1,458,409
208,1928,82,484,98,1804,99.0,99.5,0.1,458,422
209,1928,78,485,98,1801,99.0,99.5,0.0,441,422
210,1928,78,485,98,1801,99.0,99.5,0.0,441,427
211,1925,84,485,98,1800,99.0,99.5,0.1,445,427
212,1926,78,485,98,1804,99.0,99.5,-0.7,468,414
213,1928,80,485,98,1799,99.0,99.5,0.1,468,414
214,1928,80,484,98,1803,99.0,99.5,0.0,454,431
215,1928,80,484,98,1803,99.0,99.5,0.0,454,431
216,1928,78,483,98,1800,99.0,99.5,0.1,445,422
217,1925,82,483,98,1805,99.0,99.5,-0.7,445,422
218,1926,76,483,98,1804,99.0,99.5,0.0,449,427
219,1926,76,483,98,1804,99.0,99.5,0.0,449,422
220,1928,86,482,98,1799,99.0,99.5,0.1,445,422
221,1928,80,483,98,1801,99.0,99.5,-0.7,445,431
222,1926,82,483,98,1797,99.0,99.5,0.0,463,431
223,1928,80,483,98,1805,99.0,99.5,0.0,463,431
224,1928,80,483,98,1805,99.0,99.5,0.0,454,431
225,1925,78,484,98,1787,99.0,99.5,0.0,449,414
226,1926,82,484,98,1792,99.0,99.5,0.0,449,414
227,1926,82,484,98,1792,99.0,99.5,0.0,458,414
228,1926,80,483,98,1801,99.0,99.5,0.1,458,414
229,1926,80,483,98,1801,99.0,99.5,0.1,445,414
230,1925,78,482,98,1805,99.0,99.5,0.1,445,409
231,1925,78,482,98,1805,99.0,99.5,0.1,454,409
232,1926,80,483,98,1816,99.0,99.5,0.1,449,436
233,1928,82,484,98,1806,99.0,99.5,0.1,449,409
234,1928,76,483,98,1805,99.0,99.5,0.0,463,409
235,1926,80,484,98,1806,99.0,99.5,0.0,463,431
236,1926,80,484,98,1806,99.0,99.5,0.0,454,431
237,1926,78,485,98,1814,99.0,99.5,0.0,454,422
238,1926,78,485,98,1814,99.0,99.5,0.0,445,422
239,1926,80,484,98,1803,99.0,99.5,0.0,445,418
240,1926,76,483,98,1805,99.0,99.5,0.0,458,422
241,1925,78,483,98,1799,99.0,99.5,0.1,458,422
242,1928,80,483,98,1803,99.0,99.5,-0.7,458,427
243,1928,80,483,98,1803,99.0,99.5,-0.7,458,427
244,1928,78,484,98,1812,99.0,99.5,-0.7,468,431
245,1928,82,484,98,1818,99.0,99.5,0.1,468,431
