"12/25/2021 21:36","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
5,4,362,14,835,100.5,100.5,0.7,Timed Out,271
6,4,362,14,837,100.5,100.5,0.7,271,262
7,6,362,14,837,100.5,100.5,0.7,271,276
8,4,363,14,837,100.5,100.5,0.7,266,266
9,2,362,14,839,100.5,100.5,0.8,271,271
10,2,362,14,839,100.5,100.5,0.8,271,271
11,6,362,14,840,100.5,100.5,0.7,266,257
12,4,362,14,839,100.5,100.0,0.7,266,276
13,4,362,14,839,100.5,100.0,0.7,262,276
14,4,362,14,838,100.5,100.5,0.7,262,266
15,4,362,14,840,100.5,100.5,0.6,257,266
16,4,363,14,840,100.5,100.5,0.7,262,257
17,4,363,14,840,100.5,100.5,0.7,262,257
18,4,363,14,840,100.5,100.5,0.6,257,257
19,4,363,14,841,100.5,100.5,0.6,257,271
20,4,363,14,841,100.5,100.5,0.6,257,271
21,4,363,14,838,100.5,100.0,0.7,257,266
22,4,363,14,837,100.5,100.5,0.6,266,257
23,4,363,14,837,100.5,100.0,0.7,257,266
24,4,363,14,839,100.5,100.5,0.6,257,266
25,4,362,14,837,100.5,100.5,0.7,271,262
26,4,362,14,841,100.5,100.5,0.7,271,262
27,4,362,14,841,100.5,100.5,0.7,247,262
28,4,362,14,838,100.5,100.5,0.7,247,257
29,4,362,14,838,100.5,100.5,0.7,262,257
30,4,363,14,837,100.5,100.5,0.7,262,271
31,4,362,14,838,100.5,100.5,0.7,262,262
32,4,363,14,837,100.5,100.5,0.7,257,262
33,6,363,14,840,100.5,100.5,0.7,257,257
34,6,363,14,840,100.5,100.5,0.7,266,257
35,6,363,14,839,100.5,100.5,0.6,266,276
36,6,363,14,839,100.5,100.5,0.6,266,276
37,4,363,14,837,100.5,100.0,0.6,252,266
38,6,362,14,839,100.5,100.5,0.7,252,276
39,4,363,14,839,100.5,100.5,0.7,262,257
40,4,362,14,839,100.5,100.5,0.7,262,266
41,4,362,14,839,100.5,100.5,0.7,252,266
42,4,362,14,839,100.5,100.5,0.7,252,262
43,4,363,14,841,100.5,100.0,0.7,266,271
44,4,363,14,839,100.5,100.5,0.7,247,276
45,4,363,14,839,100.5,100.5,0.7,247,276
46,4,363,14,837,100.5,100.0,0.7,257,271
47,4,363,14,838,100.5,100.0,0.7,257,271
48,4,363,14,838,100.5,100.0,0.7,257,271
49,6,363,14,841,100.5,100.5,0.7,257,257
50,6,362,14,839,100.5,100.5,0.6,257,252
51,4,363,14,836,100.5,100.5,0.7,271,276
52,4,362,14,838,100.5,100.5,0.7,271,257
53,4,363,14,839,100.5,100.5,0.6,271,266
54,4,363,14,838,100.5,100.5,0.7,271,271
55,4,363,14,838,100.5,100.5,0.7,257,271
56,4,363,14,837,100.5,100.0,0.6,257,257
57,4,363,14,837,100.5,100.0,0.6,247,257
58,4,362,14,839,100.5,100.5,0.7,252,257
59,4,362,14,840,100.5,100.5,0.7,252,257
60,4,362,14,838,100.5,100.5,0.7,271,271
61,4,362,14,837,100.5,100.5,0.7,271,252
62,4,362,14,837,100.5,100.5,0.7,266,252
63,4,362,14,840,100.5,100.5,0.7,266,276
64,4,362,14,840,100.5,100.5,0.7,266,276
65,4,362,15,840,100.5,100.5,0.7,247,252
66,4,362,14,841,100.5,100.5,0.6,247,266
67,4,363,14,841,100.5,100.5,0.7,271,262
68,4,363,14,840,100.5,100.0,0.7,271,252
69,4,363,14,840,100.5,100.0,0.7,266,252
70,4,363,14,837,100.5,100.5,0.7,266,276
71,4,362,14,839,100.5,100.0,0.7,252,266
72,4,363,0,822,100.5,100.5,0.7,266,266
73,4,363,0,822,100.5,100.5,0.7,266,266
74,4,356,0,673,100.5,100.5,0.7,266,266
75,4,355,0,635,100.5,100.5,0.7,266,252
76,4,355,0,635,100.5,100.5,0.7,252,252
77,6,347,0,630,100.5,100.5,0.7,252,247
78,4,343,0,641,100.5,100.5,0.7,252,262
79,4,341,0,650,100.5,100.5,0.8,257,266
80,4,341,0,651,100.5,100.5,0.6,257,262
81,2,340,0,652,100.5,100.5,0.6,247,262
82,4,339,0,651,100.5,100.5,0.7,247,262
83,4,339,0,651,100.5,100.5,0.7,252,262
84,4,339,0,650,100.5,100.5,0.6,252,266
85,4,339,0,650,100.5,100.5,0.6,252,266
86,2,339,40,711,100.5,100.5,0.7,237,247
87,2,339,40,802,100.5,100.5,0.7,237,247
88,2,343,12,830,100.5,100.5,0.7,252,237
89,2,349,12,800,100.5,100.5,0.7,252,257
90,2,349,12,800,100.5,100.5,0.7,257,257
91,2,354,12,802,100.5,100.5,0.7,257,252
92,2,355,12,808,100.5,100.5,0.7,237,262
93,4,356,12,811,100.5,100.5,0.7,237,242
94,4,356,12,811,100.5,100.5,0.7,237,242
95,4,359,12,817,100.5,100.5,0.6,257,247
96,4,359,12,816,100.5,100.5,0.7,257,252
97,4,359,12,816,100.5,100.5,0.7,233,252
98,2,360,12,816,100.5,100.5,0.7,233,252
99,2,360,12,812,100.5,100.5,0.7,237,257
100,4,360,12,814,100.5,100.5,0.7,242,257
101,4,360,12,814,100.5,100.5,0.7,242,257
102,4,360,12,810,100.5,100.5,0.7,242,262
103,4,361,12,815,100.5,100.5,0.7,242,242
104,4,361,12,815,100.5,100.5,0.7,252,242
105,4,360,13,815,100.5,100.5,0.6,252,247
106,4,361,13,819,100.5,100.5,0.7,252,242
107,2,361,13,816,100.5,100.5,0.7,242,262
108,4,360,13,820,100.5,100.5,0.7,242,266
109,4,361,13,816,100.5,100.5,0.7,233,242
110,4,360,13,817,100.5,100.5,0.7,233,252
111,4,360,13,817,100.5,100.5,0.7,247,252
112,4,360,13,819,100.5,100.5,0.7,247,242
113,4,360,13,819,100.5,100.5,0.7,237,242
114,4,360,13,819,100.5,100.5,0.7,237,266
115,2,360,13,819,100.5,100.5,0.7,237,257
116,4,360,13,821,100.5,100.5,0.6,247,242
117,4,361,13,818,100.5,100.5,0.5,247,252
118,4,360,13,818,100.5,100.5,0.5,247,252
119,4,360,13,821,100.5,100.5,0.6,247,242
120,4,360,13,821,100.5,100.5,0.7,247,262
121,4,360,13,822,100.5,100.5,0.7,252,262
122,4,360,13,822,100.5,100.5,0.6,252,257
123,4,360,13,820,100.5,100.5,0.6,257,262
124,4,360,13,819,100.5,100.5,0.6,257,266
125,4,360,13,822,100.5,100.5,0.7,237,242
126,4,361,13,819,100.5,100.5,0.7,237,262
